FileName,width,height,encoder,encQuality,bpp,encTimeSeconds,ssimulacra2
GenshinImpact-Halloween.png,2000,1125,mozjpeg+ECT,25,.35342222222222222222,.499,35.65954581
SenkoFox.png,1024,1024,mozjpeg+ECT,25,.37535095214843750000,.235,40.40414167
Laputa_Castle_In_The_Sky_BD_JP_2014_Remux.png,1920,1080,mozjpeg+ECT,25,.28166666666666666666,.374,37.52735887
PXL_20240315_171208655.png,2252,3004,guetzli+ECT,96,4.56977789235430320259,1366.017,86.74690481
PXL_20240315_171208655.png,2252,3004,mozjpeg+ECT,20,.30154938471617476283,1.246,12.80319987
LOZLA_Wallpaper_A_[3840x2160].png,3840,2160,mozjpeg+ECT,20,.25690875771604938271,1.615,21.89274284
konosuba-megumin1.png,1240,1754,mozjpeg+ECT,25,.62320962224592636186,.584,9.26205802
Nikon-D3500-Shotkit.png,3004,2004,mozjpeg+ECT,25,.30522709574193822740,1.078,11.43096354
GenshinImpact-Halloween.png,2000,1125,mozjpeg+ECT,30,.40906311111111111111,.493,42.67762764
SenkoFox.png,1024,1024,mozjpeg+ECT,30,.43528747558593750000,.228,47.05892416
PXL_20240315_171208655.png,2252,3004,mozjpeg+ECT,25,.36878714703663321610,1.335,24.52840064
Laputa_Castle_In_The_Sky_BD_JP_2014_Remux.png,1920,1080,mozjpeg+ECT,30,.32678626543209876543,.415,45.21497314
LOZLA_Wallpaper_A_[3840x2160].png,3840,2160,mozjpeg+ECT,25,.31279803240740740740,1.706,32.26789523
GenshinImpact-Halloween.png,2000,1125,mozjpeg+ECT,35,.46002133333333333333,.511,48.46267772
konosuba-megumin1.png,1240,1754,mozjpeg+ECT,30,.71463567146062456321,.561,13.75679790
Laputa_Castle_In_The_Sky_BD_JP_2014_Remux.png,1920,1080,mozjpeg+ECT,35,.37570601851851851851,.447,51.95381220
Nikon-D3500-Shotkit.png,3004,2004,mozjpeg+ECT,30,.37001629231550215148,1.288,19.22691647
SenkoFox.png,1024,1024,mozjpeg+ECT,35,.49085235595703125000,.270,52.47210566
PXL_20240315_171208655.png,2252,3004,mozjpeg+ECT,30,.43313947300579688893,1.413,32.49271187
LOZLA_Wallpaper_A_[3840x2160].png,3840,2160,mozjpeg+ECT,30,.36273437500000000000,1.731,38.97522930
konosuba-megumin1.png,1240,1754,mozjpeg+ECT,35,.80221797182476919115,.607,17.28947208
GenshinImpact-Halloween.png,2000,1125,mozjpeg+ECT,40,.50969955555555555555,.572,52.98841506
Laputa_Castle_In_The_Sky_BD_JP_2014_Remux.png,1920,1080,mozjpeg+ECT,40,.41879629629629629629,.453,56.63128798
LOZLA_Wallpaper_A_[3840x2160].png,3840,2160,mozjpeg+ECT,35,.41152102623456790123,1.851,44.56617099
SenkoFox.png,1024,1024,mozjpeg+ECT,40,.53720855712890625000,.280,56.20112440
Nikon-D3500-Shotkit.png,3004,2004,mozjpeg+ECT,35,.44794831110083428349,1.295,25.68611405
konosuba-megumin1.png,1240,1754,mozjpeg+ECT,40,.87777982123809173502,.790,20.12684870
GenshinImpact-Halloween.png,2000,1125,mozjpeg+ECT,45,.55662222222222222222,.517,56.01251823
Nikon-D3500-Shotkit.png,3004,2004,mozjpeg+ECT,40,.51339265543480283108,1.428,30.20324665
PXL_20240315_171208655.png,2252,3004,mozjpeg+ECT,35,.49756038721609789670,1.642,39.15464618
Laputa_Castle_In_The_Sky_BD_JP_2014_Remux.png,1920,1080,mozjpeg+ECT,45,.45750000000000000000,.497,60.15901013
SenkoFox.png,1024,1024,mozjpeg+ECT,45,.58426666259765625000,.266,59.33838191
LOZLA_Wallpaper_A_[3840x2160].png,3840,2160,mozjpeg+ECT,40,.45443962191358024691,1.922,48.31598940
PXL_20240315_171208655.png,2252,3004,mozjpeg+ECT,40,.55519461322144777951,1.620,44.06391449
konosuba-megumin1.png,1240,1754,mozjpeg+ECT,45,.95166807665428329716,.811,22.16952721
GenshinImpact-Halloween.png,2000,1125,mozjpeg+ECT,50,.60512711111111111111,.587,59.43392259
SenkoFox.png,1024,1024,mozjpeg+ECT,50,.63218688964843750000,.278,62.49509079
Laputa_Castle_In_The_Sky_BD_JP_2014_Remux.png,1920,1080,mozjpeg+ECT,50,.49940200617283950617,.471,63.96624306
Nikon-D3500-Shotkit.png,3004,2004,mozjpeg+ECT,45,.58331937988204682512,1.437,33.99575013
LOZLA_Wallpaper_A_[3840x2160].png,3840,2160,mozjpeg+ECT,45,.49543788580246913580,1.999,50.81313946
GenshinImpact-Halloween.png,2000,1125,mozjpeg+ECT,55,.65800533333333333333,.641,61.89048478
konosuba-megumin1.png,1240,1754,mozjpeg+ECT,50,1.02122705704932504505,.789,24.44575504
PXL_20240315_171208655.png,2252,3004,mozjpeg+ECT,45,.61131162003060454621,1.685,47.46929650
Laputa_Castle_In_The_Sky_BD_JP_2014_Remux.png,1920,1080,mozjpeg+ECT,55,.54809799382716049382,.528,67.19448778
SenkoFox.png,1024,1024,mozjpeg+ECT,55,.68746948242187500000,.313,65.03872449
Nikon-D3500-Shotkit.png,3004,2004,mozjpeg+ECT,50,.65629460121036223159,1.471,37.64095127
LOZLA_Wallpaper_A_[3840x2160].png,3840,2160,mozjpeg+ECT,50,.53639564043209876543,1.994,54.08417074
PXL_20240315_171208655.png,2252,3004,mozjpeg+ECT,50,.66785789462481049541,1.791,51.23887339
konosuba-megumin1.png,1240,1754,mozjpeg+ECT,55,1.09865009011659984551,.882,25.71603182
GenshinImpact-Halloween.png,2000,1125,mozjpeg+ECT,60,.70964977777777777777,.632,63.90304778
Laputa_Castle_In_The_Sky_BD_JP_2014_Remux.png,1920,1080,mozjpeg+ECT,60,.59046296296296296296,.546,69.11490085
SenkoFox.png,1024,1024,mozjpeg+ECT,60,.73827362060546875000,.300,66.85672117
LOZLA_Wallpaper_A_[3840x2160].png,3840,2160,mozjpeg+ECT,55,.58315393518518518518,2.119,56.08215925
Nikon-D3500-Shotkit.png,3004,2004,mozjpeg+ECT,55,.74133224895083335326,1.613,41.01189008
Nikon-D3500-Shotkit.png,3004,2004,guetzli+ECT,100,14.38568668256031213206,1791.882,94.84293566
konosuba-megumin1.png,1240,1754,mozjpeg+ECT,60,1.17803729723765034759,.864,27.74347514
GenshinImpact-Halloween.png,2000,1125,mozjpeg+ECT,65,.78267377777777777777,.646,66.93006292
PXL_20240315_171208655.png,2252,3004,mozjpeg+ECT,55,.73168989600603576522,1.818,54.17492936
Laputa_Castle_In_The_Sky_BD_JP_2014_Remux.png,1920,1080,mozjpeg+ECT,65,.65730324074074074074,.535,72.63472080
LOZLA_Wallpaper_A_[3840x2160].png,3840,2160,mozjpeg+ECT,60,.62693190586419753086,2.252,57.75989458
SenkoFox.png,1024,1024,mozjpeg+ECT,65,.81179046630859375000,.343,69.44607070
Nikon-D3500-Shotkit.png,3004,2004,mozjpeg+ECT,60,.83180908489279762711,1.672,43.58876818
konosuba-megumin1.png,1240,1754,mozjpeg+ECT,65,1.28338176334277411998,.918,29.75177046
PXL_20240315_171208655.png,2252,3004,mozjpeg+ECT,60,.79484784053470446745,1.901,56.58233356
GenshinImpact-Halloween.png,2000,1125,mozjpeg+ECT,70,.86392888888888888888,.680,69.52361804
SenkoFox.png,1024,1024,mozjpeg+ECT,70,.89946746826171875000,.333,72.15697097
Laputa_Castle_In_The_Sky_BD_JP_2014_Remux.png,1920,1080,mozjpeg+ECT,70,.73120756172839506172,.590,75.00142140
Nikon-D3500-Shotkit.png,3004,2004,mozjpeg+ECT,65,.95970907718517691647,2.071,47.72027946
LOZLA_Wallpaper_A_[3840x2160].png,3840,2160,mozjpeg+ECT,65,.69030574845679012345,2.217,60.26751690
konosuba-megumin1.png,1240,1754,mozjpeg+ECT,70,1.40544377827638209438,.948,31.35818363
PXL_20240315_171208655.png,2252,3004,mozjpeg+ECT,65,.88216303661429520852,1.939,59.98577355
GenshinImpact-Halloween.png,2000,1125,mozjpeg+ECT,75,.97641600000000000000,.729,72.79266032
LOZLA_Wallpaper_A_[3840x2160].png,3840,2160,guetzli+ECT,100,9.79009548611111111111,1630.061,91.26951455
SenkoFox.png,1024,1024,mozjpeg+ECT,75,1.01091766357421875000,.363,75.27263576
Laputa_Castle_In_The_Sky_BD_JP_2014_Remux.png,1920,1080,mozjpeg+ECT,75,.83599537037037037037,.633,78.56591769
Nikon-D3500-Shotkit.png,3004,2004,mozjpeg+ECT,70,1.11768872375090032983,2.334,51.06432695
LOZLA_Wallpaper_A_[3840x2160].png,3840,2160,mozjpeg+ECT,70,.76173321759259259259,2.445,62.05987644
konosuba-megumin1.png,1240,1754,mozjpeg+ECT,75,1.56599845514400264832,.996,33.81556238
PXL_20240315_171208655.png,2252,3004,mozjpeg+ECT,70,.98935936217665965805,2.175,62.79718086
GenshinImpact-Halloween.png,2000,1125,mozjpeg+ECT,80,1.30787555555555555555,1.014,77.20032340
PXL_20240315_171208655.png,2252,3004,guetzli+ECT,100,12.65609974149328426514,2059.173,93.22206669
SenkoFox.png,1024,1024,mozjpeg+ECT,80,1.34243011474609375000,.484,78.83012330
Laputa_Castle_In_The_Sky_BD_JP_2014_Remux.png,1920,1080,mozjpeg+ECT,80,1.12258487654320987654,.812,83.16457145
LOZLA_Wallpaper_A_[3840x2160].png,3840,2160,mozjpeg+ECT,75,.86016878858024691358,2.594,64.73547984
Nikon-D3500-Shotkit.png,3004,2004,mozjpeg+ECT,75,1.32632870078750621260,2.324,55.25201926
PXL_20240315_171208655.png,2252,3004,mozjpeg+ECT,75,1.13262482468609054120,2.387,66.36211831
GenshinImpact-Halloween.png,2000,1125,mozjpeg+ECT,85,1.55346844444444444444,1.174,79.84126516
konosuba-megumin1.png,1240,1754,mozjpeg+ECT,80,2.28252841431566557545,1.327,58.18818229
SenkoFox.png,1024,1024,mozjpeg+ECT,85,1.58753967285156250000,.501,81.26052783
Laputa_Castle_In_The_Sky_BD_JP_2014_Remux.png,1920,1080,mozjpeg+ECT,85,1.32340277777777777777,.868,85.51062682
konosuba-megumin1.png,1240,1754,mozjpeg+ECT,85,2.65859418104240997535,1.546,60.16478400
LOZLA_Wallpaper_A_[3840x2160].png,3840,2160,mozjpeg+ECT,80,1.27896219135802469135,3.485,72.80617019
Nikon-D3500-Shotkit.png,3004,2004,mozjpeg+ECT,80,2.07993068456960911731,3.501,62.74773147
SenkoFox.png,1024,1024,mozjpeg+ECT,90,2.43040466308593750000,.780,85.47079783
GenshinImpact-Halloween.png,2000,1125,mozjpeg+ECT,90,2.44478933333333333333,1.582,84.68955793
Laputa_Castle_In_The_Sky_BD_JP_2014_Remux.png,1920,1080,mozjpeg+ECT,90,1.97479166666666666666,1.239,89.02526009
PXL_20240315_171208655.png,2252,3004,mozjpeg+ECT,80,1.61500474204908552953,3.160,72.23930433
